201;"9B";"MOL";"CH";"B07";3;3;;
202;"9B";"KMP";"PH";"B07";2;4;;
202;"9B";"KMP";"PH";"B07";5;6;;
203;"9B";"GR";"GE";"B07";2;7;;
204;"9B";"GLH";"EK";"B07";1;3;;
204;"9B";"GLH";"EK";"B07";1;4;;
205;"9B";"KAY";"PK";"B07";3;5;;
205;"9B";"KAY";"PK";"B07";3;6;;
206;"9B";"WCK";"M";"B07";3;4;;
206;"9B";"WCK";"M";"B07";4;5;;
206;"9B";"WCK";"M";"B07";4;6;;
207;"9B";"LOR";"SP";"HA4";4;1;;
207;"9B";"LOR";"SP";"HA4";4;2;;
208;"9C";"MAR";"D";"B02";4;5;;
208;"9C";"MAR";"D";"B02";4;6;;
208;"9C";"MAR";"D";"B02";5;6;;
209;"9C";"AGR";"E5";"B02";1;2;;
209;"9C";"AGR";"E5";"B02";2;2;;
209;"9C";"AGR";"E5";"B02";2;3;;
210;"9C";"KRM";"BI";"B02";2;1;;
210;"9C";"KRM";"BI";"B02";4;1;;
211;"9C";"HER";"CH";"B02";3;2;;
211;"9C";"HER";"CH";"B02";3;3;;
212;"9C";"KMP";"PH";"B02";2;5;;
212;"9C";"KMP";"PH";"B02";2;6;;
213;"9C";"KRM";"GE";"B02";2;7;;
214;"9C";"MAR";"EK";"B02";3;5;;
214;"9C";"MAR";"EK";"B02";3;6;;
215;"9C";"VZ";"PK";"B02";1;4;;
215;"9C";"VZ";"PK";"B02";2;4;;
216;"9C";"WCK";"M";"B02";1;6;;
216;"9C";"WCK";"M";"B02";4;3;;
216;"9C";"WCK";"M";"B02";4;4;;
217;"9C";"HPT";"SP";"HA4";5;3;;
217;"9C";"HPT";"SP";"HA4";5;4;;
218;"9D";"SCH";"D";"B01";3;3;;
218;"9D";"SCH";"D";"B01";3;4;;
218;"9D";"SCH";"D";"B01";5;6;;
219;"9D";"KR";"E5";"B01";1;4;;
219;"9D";"KR";"E5";"B01";4;5;;
219;"9D";"KR";"E5";"B01";4;6;;
220;"9D";"HER";"CH";"H05";2;8;;
220;"9D";"HER";"CH";"H05";2;9;;
221;"9D";"WLD";"PH";"B01";1;6;;
221;"9D";"WLD";"PH";"B01";3;2;;
222;"9D";"KRM";"GE";"B01";2;2;;
223;"9D";"GB";"EK";"B01";1;3;;
223;"9D";"GB";"EK";"B01";4;2;;
224;"9D";"KAY";"PK";"B01";4;3;;
224;"9D";"KAY";"PK";"B01";5;1;;
225;"9D";"BG";"M";"B01";2;1;;
225;"9D";"BG";"M";"B01";3;5;;
225;"9D";"BG";"M";"B01";4;4;;
226;"9D";"RCH";"SP";"HA3";5;3;;
226;"9D";"RCH";"SP";"HA3";5;4;;
227;"5A";"BIE";"CO";"HA6";2;7;;
227;"5B";"BIE";"CO";"HA6";2;7;;
227;"5C";"BIE";"CO";"HA6";2;7;;
227;"5D";"BIE";"CO";"HA6";2;7;;
227;"6A";"BIE";"CO";"HA6";2;7;;
227;"6B";"BIE";"CO";"HA6";2;7;;
227;"6C";"BIE";"CO";"HA6";2;7;;
227;"6D";"BIE";"CO";"HA6";2;7;;
227;"7A";"BIE";"CO";"HA6";2;7;;
227;"7B";"BIE";"CO";"HA6";2;7;;
227;"7C";"BIE";"CO";"HA6";2;7;;
227;"7D";"BIE";"CO";"HA6";2;7;;
227;"5E";"BIE";"CO";"HA6";2;7;;
943;"7B";"HDU";"SP";"HA2";5;5;;
